,word,idf
132,说,2.383495145631068
105,后来,4.116311248575615
66,走,4.534678323245909
68,没,5.268295223709568
30,没有,5.55716718861601
23,里,5.608628146833759
453,朋友,6.278850332112484
335,跑,6.898513163279225
277,找,7.425739666691139
242,醒,8.252100840336135
503,很多,9.049476603739823
228,蛇,9.216876252961546
112,感觉,9.442307692307692
179,最后,9.679969375059814
507,吃,9.980856522597197
15,妈妈,10.046285260230434
375,死,10.425273139558854
221,一条,10.922894168466522
10,东西,11.754328878558978
1224,好多,11.82302746931619
1401,孩子,12.059854536783117
262,中,13.574822171520601
41,害怕,14.733576110706482
131,问,14.951367331855137
442,咬,15.107692307692307
16,家里,15.171141442927853
155,掉,15.616180330399876
70,回家,15.676689398636082
659,有人,15.858576356224521
62,起来,15.976307060495973
269,喜欢,16.710061126714027
1668,买,16.726641309740366
44,爸爸,16.85204931689437
754,会,16.85485752374604
128,旁边,17.00504371217216
19,家,17.02221474251094
1141,男朋友,17.26040955631399
137,抱,17.58143577264036
612,哭,17.630468886177443
247,带,17.633542538354252
125,时,17.914629826425788
428,同学,17.949600709849157
176,已经,18.555494404696386
418,女人,18.744625648628613
513,钱,19.174597156398104
703,追,19.18914816922785
389,我家,19.317417876241407
484,帮,19.601937984496125
117,一下,20.18479345440032
122,昨晚,20.462472182884888
324,路上,21.3748943364328
708,变成,21.538756388415674
1064,房子,21.803405906445356
1500,男人,21.803405906445356
2007,儿子,21.912045060658578
395,玩,22.089102424110067
1176,水,22.52694877505568
788,女,22.653079507278836
20,觉得,22.739658273381295
1376,抓,22.837209302325583
1586,男,22.99818099135971
220,出现,23.41884695531373
1136,小孩,23.424270495599814
78,说话,23.527797162130728
1168,鱼,23.704241856104993
373,狗,23.82147903909562
627,奶奶,23.985297604932416
153,穿,23.990986717267553
98,当时,24.191820138722793
953,告诉,24.209191000478697
639,准备,24.41960405601159
1585,以前,24.597762645914397
1169,身上,24.869928694369314
582,出去,25.11072492552135
394,过来,25.141933880188915
468,意思,25.574209860935525
111,心里,25.632539280283833
2121,父亲,25.66505962953565
38,有点,26.21721099015034
1396,过去,26.251232805606023
1195,结婚,26.59637128582698
338,看着,26.744050766790057
509,不知,27.425704989154013
427,有个,27.500271886895053
713,站,27.500271886895053
540,吃饭,27.779730843174953
279,血,28.072717180127672
890,现在,28.09611111111111
1142,找到,28.221540178571427
447,晚上,28.49985911524373
238,爬,28.759169746943417
368,很大,28.759169746943417
1809,女儿,28.865867579908677
339,车,28.940200286123034
60,房间,29.258316459357825
1916,手机,29.514444120221768
560,睡觉,29.696418085731064
246,厕所,29.916001183081928
516,去世,29.942569567791594
266,爷爷,30.022558622736717
129,坐,30.256057433443015
207,一会,30.256057433443015
413,手,30.75281240498632
2126,母亲,30.884274809160306
