,word,idf
132,说,2.0946453734147488
66,走,4.028455284552845
105,后来,4.156104380242311
68,没,4.580893682588598
30,没有,4.616459627329193
23,里,4.652582159624413
453,朋友,5.848524590163934
335,跑,6.3661670235546035
242,醒,6.803203661327231
228,蛇,6.919317300232739
112,感觉,7.186946011281225
277,找,7.292722812755519
754,会,7.851232394366197
503,很多,8.543103448275861
262,中,8.865805168986084
179,最后,9.261682242990654
375,死,9.378548895899053
221,一条,9.66305525460455
10,东西,9.94314381270903
507,吃,10.04391891891892
15,妈妈,10.066591422121896
122,昨晚,12.63314447592068
62,起来,12.723252496433666
1224,好多,13.058565153733529
131,问,13.135493372606774
41,害怕,13.700460829493087
1401,孩子,13.827906976744186
442,咬,13.914196567862714
125,时,13.914196567862714
155,掉,14.045669291338582
128,旁边,14.090047393364928
176,已经,14.478896103896103
70,回家,14.914715719063546
16,家里,14.989915966386555
20,觉得,15.065878378378379
659,有人,15.246153846153845
19,家,15.272260273972602
117,一下,15.377586206896552
428,同学,15.813829787234043
1668,买,16.275547445255473
220,出现,16.608938547486034
247,带,17.119001919385795
137,抱,17.151923076923076
612,哭,17.184971098265898
708,变成,18.091277890466532
115,大师,18.20204081632653
98,当时,18.276639344262296
389,我家,18.46583850931677
44,爸爸,18.542619542619544
484,帮,18.81645569620253
1064,房子,18.856236786469346
368,很大,18.97659574468085
38,有点,19.263498920086395
953,告诉,19.389130434782608
1376,抓,19.8641425389755
703,追,20.13318284424379
269,喜欢,20.17873303167421
418,女人,20.363013698630137
713,站,20.409610983981693
1586,男,20.456422018348626
324,路上,20.50344827586207
788,女,20.74186046511628
890,现在,20.93661971830986
468,意思,21.235714285714284
627,奶奶,21.286396181384248
1585,以前,21.33732057416268
513,钱,21.439903846153847
395,玩,21.439903846153847
1176,水,21.49156626506024
1396,过去,21.543478260869566
373,狗,21.543478260869566
447,晚上,21.595641646489103
1168,鱼,21.914004914004913
60,房间,21.967980295566502
509,不知,22.022222222222222
338,看着,22.076732673267326
111,心里,22.241895261845386
2007,儿子,22.241895261845386
1141,男朋友,22.752551020408163
427,有个,22.81074168797954
1169,身上,23.532981530343008
639,准备,23.91152815013405
238,爬,23.91152815013405
394,过来,24.105405405405406
717,非常,24.170731707317074
367,梦境,24.368852459016395
153,穿,24.502747252747252
78,说话,24.502747252747252
582,出去,24.706371191135734
209,睡,24.84401114206128
1136,小孩,26.002915451895042
2121,父亲,26.07894736842105
560,睡觉,26.23235294117647
129,坐,26.309734513274336
1500,男人,26.544642857142858
454,开,26.70359281437126
339,车,26.70359281437126
27,那种,27.275229357798164
1195,结婚,27.275229357798164
2126,母亲,27.358895705521473
1213,可能,27.443076923076923
1142,找到,27.443076923076923
413,手,27.613003095975234
267,住,27.95924764890282
279,血,28.404458598726116
357,请,28.404458598726116
144,下来,28.49520766773163
140,这是,28.58653846153846
772,真的,29.242622950819673
231,头,29.533112582781456
3416,老婆,29.92953020134228
266,爷爷,30.233898305084747
1056,前,30.336734693877553
207,一会,30.544520547945204
855,出,30.755172413793105
1916,手机,30.755172413793105
94,完,30.96875
270,回去,30.96875
719,学校,31.076655052264808
522,白色,31.185314685314687
1553,同事,31.185314685314687
516,去世,31.294736842105262
246,厕所,31.404929577464788
1809,女儿,31.404929577464788
245,躺,31.740213523131672
593,猫,31.740213523131672
1105,路,32.08273381294964
118,谢谢,32.43272727272727
1442,快,32.43272727272727
471,家人,32.43272727272727
769,怕,32.551094890510946
1771,男友,32.67032967032967
1526,医院,32.91143911439114
49,门,33.03333333333333
864,进去,33.15613382899628
517,弟弟,33.40449438202247
203,今天,33.53007518796993
705,高,33.656603773584905
355,拉,33.78409090909091
408,似乎,33.78409090909091
4849,发生,33.78409090909091
1544,女孩,33.91254752851711
812,不会,34.43629343629344
819,老师,34.43629343629344
472,事,34.83984375
1196,不好,34.83984375
383,是不是,35.25296442687747
876,长,35.392857142857146
702,鬼,35.676
388,现实,35.81927710843374
278,身体,35.81927710843374
1045,身边,35.81927710843374
1189,捡,36.25609756097561
1856,一边,36.55327868852459
458,中间,36.7037037037037
1180,最近,36.7037037037037
360,点,37.1625
359,早上,37.1625
467,请问,37.31799163179916
2171,跳,37.47478991596638
848,正在,37.63291139240506
2618,女朋友,37.9531914893617
834,眼睛,38.27896995708154
21,奇怪,38.27896995708154
497,遇到,38.44396551724138
1130,我梦到,39.11842105263158
665,不要,39.11842105263158
1914,进,39.4646017699115
1517,不能,39.4646017699115
1385,杀,39.64
540,吃饭,39.816964285714285
847,事情,39.99551569506726
694,妹妹,39.99551569506726
960,打电话,40.17567567567568
652,黑色,40.17567567567568
215,姐姐,40.35746606334842
261,一点,40.726027397260275
318,红色,40.91284403669725
306,下去,40.91284403669725
272,送,41.10138248847926
225,笑,41.677570093457945
983,一看,41.677570093457945
974,听,41.87323943661972
382,一次,41.87323943661972
333,赶紧,42.070754716981135
2228,脚,42.27014218009479
496,帮忙,42.27014218009479
364,怀孕,42.47142857142857
650,清楚,42.47142857142857
486,回,42.87980769230769
1646,以后,43.29611650485437
91,太,43.29611650485437
1186,放,43.50731707317073
918,开心,43.720588235294116
2491,一群,43.720588235294116
750,挺,43.935960591133004
109,比较,43.935960591133004
1378,喊,43.935960591133004
780,不敢,43.935960591133004
397,离开,44.15346534653465
1028,门口,44.15346534653465
1455,脸,44.15346534653465
1748,居然,44.37313432835821
2816,工作,44.595
664,放在,44.595
197,穿着,44.81909547738694
157,见,44.81909547738694
818,继续,45.04545454545455
464,医生,45.2741116751269
438,昨天,45.2741116751269
578,听到,45.2741116751269
1157,求,45.738461538461536
984,竟然,45.97422680412371
2134,躲,46.696335078534034
1398,救,46.94210526315789
72,跟着,46.94210526315789
636,棺材,46.94210526315789
371,之前,46.94210526315789
1749,忘,47.19047619047619
1563,高兴,47.19047619047619
187,抓住,47.6951871657754
2930,我妈,47.6951871657754
386,解梦,47.95161290322581
1851,尸体,49.27624309392265
975,忽然,49.27624309392265
275,电话,49.27624309392265
1450,时间,49.55
2834,头发,49.8268156424581
1901,代表,49.8268156424581
526,牙齿,49.8268156424581
77,到处,50.10674157303371
330,骑,50.389830508474574
73,进来,50.389830508474574
546,其实,50.389830508474574
141,怎么回事,50.965714285714284
1515,生气,51.258620689655174
417,声音,51.258620689655174
596,昨天晚上,51.258620689655174
419,写,51.554913294797686
316,类似,51.854651162790695
1538,陌生,52.1578947368421
1449,看看,52.46470588235294
733,来到,52.77514792899408
615,妈,53.089285714285715
344,水里,53.089285714285715
711,弄,53.7289156626506
816,关系,53.7289156626506
882,父母,53.7289156626506
805,大概,53.7289156626506
1332,小心,53.7289156626506
434,女生,53.7289156626506
200,便,54.054545454545455
1735,打开,54.38414634146341
567,飞,54.38414634146341
1687,开车,54.717791411042946
910,一种,55.05555555555556
1152,伤心,55.05555555555556
996,名字,55.39751552795031
4299,生,55.39751552795031
2861,本来,55.74375
1868,警察,56.094339622641506
2369,腿,56.449367088607595
1096,哥哥,56.449367088607595
450,担心,56.449367088607595
263,场景,56.80891719745223
730,男生,56.80891719745223
1009,倒,56.80891719745223
839,求解,56.80891719745223
1057,几天,57.17307692307692
4616,电梯,57.17307692307692
778,更,57.17307692307692
194,一位,57.541935483870965
704,很快,57.91558441558441
504,老家,58.294117647058826
2404,丢,58.294117647058826
340,直接,58.294117647058826
2420,貌似,58.67763157894737
121,岁,59.06622516556291
114,希望,59.46
690,一天,59.46
1527,一半,59.85906040268456
1476,两条,59.85906040268456
433,周围,59.85906040268456
208,睡着,59.85906040268456
1400,院子,60.263513513513516
3266,生活,60.263513513513516
219,聊天,60.263513513513516
147,飞机,60.673469387755105
817,我要,60.673469387755105
1463,先是,60.673469387755105
712,脖子,61.51034482758621
963,面前,61.9375
18,新,62.37062937062937
332,河里,62.37062937062937
96,楼梯,62.37062937062937
2246,碰到,62.37062937062937
1040,一片,62.809859154929576
892,正,62.809859154929576
3724,死去,63.707142857142856
1440,那条,63.707142857142856
758,话,64.16546762589928
1489,整个,64.16546762589928
260,黑,64.16546762589928
1908,外婆,64.16546762589928
1203,成,64.6304347826087
1564,马上,64.6304347826087
399,不让,65.10218978102189
3147,踩,65.10218978102189
1437,蟒蛇,65.58088235294117
1388,婆婆,65.58088235294117
1072,表示,66.06666666666666
0,一家,66.55970149253731
2761,预示,66.55970149253731
448,总是,66.55970149253731
2137,肚子,66.55970149253731
217,老,66.55970149253731
2555,一张,67.06015037593986
2865,虫子,67.06015037593986
3391,参加,67.06015037593986
3379,个人,67.56818181818181
258,颜色,68.08396946564885
3735,过程,68.6076923076923
264,经常,68.6076923076923
2454,屋里,68.6076923076923
2138,亲人,68.6076923076923
2878,洗,69.13953488372093
954,想要,69.13953488372093
2170,摸,69.13953488372093
2885,扔,69.6796875
4365,男孩,69.6796875
575,窗户,69.6796875
1215,惊醒,69.6796875
2909,问题,69.6796875
110,清晰,70.22834645669292
361,左右,70.22834645669292
1763,干净,70.22834645669292
1821,爸妈,70.78571428571429
20756,梦者,70.78571428571429
1673,熟悉,71.352
1552,上班,71.9274193548387
3878,自行车,71.9274193548387
558,肉,71.9274193548387
1473,对面,71.9274193548387
362,亲戚,72.51219512195122
2656,吐,73.10655737704919
2480,打死,73.10655737704919
1615,老板,73.7107438016529
250,手上,73.7107438016529
294,流血,74.325
614,第一次,74.325
4725,终于,74.325
1084,回头,74.325
1149,分手,74.94957983193277
616,不想,74.94957983193277
1352,考试,74.94957983193277
54,上去,74.94957983193277
969,到底,74.94957983193277
2256,动,75.58474576271186
4729,乌龟,75.58474576271186
287,换,76.23076923076923
143,山上,76.88793103448276
2314,急,76.88793103448276
906,拼命,76.88793103448276
351,边上,76.88793103448276
2582,不了,76.88793103448276
2606,鞋,76.88793103448276
718,疼,76.88793103448276
2560,一把,76.88793103448276
707,忘记,76.88793103448276
551,好象,77.55652173913043
1190,鞋子,77.55652173913043
12,出门,77.55652173913043
46,邻居,77.55652173913043
2995,妻子,78.23684210526316
1753,一颗,78.23684210526316
1785,一定,78.929203539823
356,上来,78.929203539823
2511,发现自己,79.63392857142857
3188,嘴里,79.63392857142857
837,意味着,79.63392857142857
2059,楼,79.63392857142857
1154,爱,79.63392857142857
1218,恐怖,79.63392857142857
1158,解释,80.35135135135135
931,只能,80.35135135135135
1944,河边,80.35135135135135
831,听见,80.35135135135135
255,被子,81.08181818181818
2154,前男友,81.08181818181818
692,教室,81.8256880733945
5120,想着,81.8256880733945
822,久,81.8256880733945
