,text
66,老师，您好！昨晚做了一个很奇怪的梦，开始梦见自己在洗澡，洗着洗着突然发现男女浴室是一个帘子隔开的，自己却在男浴室这边被一些人看到看到，很不好意思；接下来好像感觉自己是在部队里，自己从柜子里拿了东西被发现，被上级开除（说是违反规定私藏物品，其实那些物品时自己领导的，但是又不能供出来只能自己被开除）；再后来有继续梦见有人被杀死，用很残忍的方法。然后自己很害怕就醒来了。
140,昨晚梦见自己去菜市场买了一节甘蔗吃，吃着吃着又看见有一三轮车的甘蔗，三轮车上的甘蔗已经学好皮，切成一口一块的大小，我拿去几块试吃，硬硬的甘蔗令我的牙齿差不多不够力气咬了。梦见自己吃甘蔗是第一次，不知有什么预兆？请大师解梦，谢谢大师！
279,梦见鬼在一屋子的水池里。我还把身份证仍了进去。鬼告诉我要去河里游泳。屋子出来就是河。可是全程看不到它。梦里哥哥说是富人为了生意养的鬼。
479,先是梦见一场车祸，死了两个人，肠子都出来了很血腥，接着我走过去出现一条小路，前面一大一小两只金黄色的老胡在嬉戏从我身边跑过，感觉那两只老虎像在发光一样
283,梦见和一个很好的异性朋友走，背景是大片大片的水。突然被强吻 被我妈妈撞见，然后他跟妈妈说他喜欢我 请问这难道暗示我喜欢他 ？可是我有男朋友了啊……
602,"梦见小孩掉大坑里,下面有很多猛兽,我下去救他,后来他带我一起奔跑,走过了一个古老的建筑,然后跑上山,在山上发现有火烧过,而且还有小火没灭掉,后来一直下山了,见到了一个宽阔的山地"
234,在一个老家的河塘和亲戚朋友一起捉鱼，里面很多鱼，突然看到一条大鱼，我就用鱼叉去叉鱼，叉是叉到了，但是鱼头和鱼身都被我叉的分开了，而且貌似出了不少血，感觉心里很不舒服、难受。还有在鱼塘边上走的时候总是跌跌撞撞、歪歪斜斜的，很容易就掉进河塘的感觉。。。
447,梦见有坏人污蔑我意识中的朋友，我护着我朋友来到我姥爷家，坏人拿刀抵住我的脖子，想我姥爷索要钱财，趁坏人拿钱财的时候，我那着一把匕首制服了坏人，我朋友也制度了另一个坏人，我让他报警，想用匕首杀了坏人，却发现刀很钝割不伤坏人
558,我经常梦到旷野，河川，街巷，泥泞，好像轻功，漂浮着行走。就像毫无任何障碍的行走。异常的快乐！！并且，我经常梦到我进入中考考场时候，还不知道考没考上！没有信心。我已成年，46岁了。请快点回复。谢谢。
27,梦见有人抱着我的小孩子，突然另外一个人一只手抢过孩子扔出去了，我就哭着对别人说，我的孩子让别人摔死了。这是什么意思呢？
295,昨晚梦见在自己家厕所正在拉大便，旁边女厕所过来了两个女人拉大便，大杂院的厕所男女相隔的墙有洞而且很大，上面能看到人能相视，下面可以看到，我没有要看的意思，只是无意瞄了瞄，被女的看见了，后来那女的说看什么看，我连忙说没有看没有看，手一滑一紧张就滑进面前的粪坑池子里了，那两个女的连忙跑过来拉我，很艰难的把我拉了出来，我印象池子很深还游到边她们给我拉了出来。后来来了好多人，我衣服都脱了，一丝不挂在那亮着，有个很漂亮的女孩在跟我边说话边走，起初我两手捂自己的私处，后来就没有捂了感觉很正常没有羞涩的感觉。
