"text","label"
"梦见一家三口搬家，不知道为什么搬家，不知道新家是怎么得来的（不是买来的新房子），搬进的是楼房，不是平房，东西都搬进去之后我爸就出门办什么事去了，我和妈妈在家里收拾新家。然后就觉得新家很奇怪，在卧室里好像有坟一样的东西（不是鼓个土包的那种坟，是水泥的平地，好像也没有墓碑，外表看起来不是墓，也没有坟墓的明显特征，但是我们知道那是坟），家里好像有点刮阴风，我和妈妈很害怕，就想搬出去。通知爸爸回来和我们一起收拾搬家。有楼上的邻居从门缝里向我们家里看，邻居没有什么表情。我很害怕，去关门，发现门关不上，也锁不住（锁是插销那种的，对不上去，所以锁不上），我使劲的关，关没关上我就不记得了，然后和妈妈一起收拾东西，拿袋子把各个房间里的东西都装起来，我很害怕，口很渴，但是想快点收拾东西快点走，连水也没喝，然后爸爸回家了，一进门楼上的邻居也都跟着进来了，面无表情的在我们家里走来走去的到处看，也不跟我们说话，不友好但是也没有敌意，就是很呆滞的那种表情。他们拿走了我们家的一些小东西，好像有苹果之类的，反正全部都是小件的东西(不知道是他们自己拿的，还是我们想尽快搬出去，嫌小东西搬来搬去的太麻烦而送给他们的)。拿完东西之后他们就出门往楼上走了。我跟着跑出去在楼梯上拦住他们（我当时好像有点气愤，因为他们拿了我们的东西，所以我对他们的表情是有点愤怒的），我从他们手里拿回来了一些属于我们的东西，他们没有反抗，没有愤怒，还是呆呆的，完全没有表情。后来就不记得了。我很少很少做梦，这回做了这么个梦，而且记忆还比较清晰，心里感觉特别不舒服，希望大师能给解一下，谢谢！","03"
"梦见橡胶管缠绕，管子里全是酒，好几个人必须把酒喝完才能结束，已经好几次了。而且基本上都是喝完酒的，而我自己喝不喝感觉不明显，到最后好像别人都是喝到不行了。缠绕在一起的管子最后剩下的也不多了，好像也不再缠绕不清了，就稀稀的几根","03"
"梦到被坏人抓住，那个坏人右手拿了半个盆子，她抓住我的衣服，我始终逃不了，我不停叫救命，这时，一位帅哥大明星穿着粉红色衬衫，于是，他便就了我。好可怕--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------呜呜呜呜呜呜U呜呜呜呜呜U呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜呜","03"
"昨晚梦到一船的和尚，分船两边整整齐齐的坐着，一声不吭，从上望下去光溜溜的头，大小一样，好似一排罗汉，庄严肃穆。此船在前面行驶，船后还有一艘类似龙舟的红色的船，只有一个人在龙舟里。龙舟后面还有一艘普通的船跟在后面。河面好像很平静。反正三艘船都很安静。","05"
"和一个人山里像游戏中一样相互攻击，把对手打成骷髅头但其它身体部分正常的人，帮助自己的几个人也有受伤，最后不计前嫌帮骷髅头及帮助我的人“回血”，让骷髅头回人形，我提议去魔兽游戏中的生命之泉，却遇上各个部落争夺它，这是玉帝出现帮忙，后来又遇到佛祖帮忙佛祖说这时候要用金字佛印，就发给我们金字佛印。","04"
"开始有很多朋友在老家一块农地里一起吃东西感觉已经吃饱了，不知又换了一个场景与爱人一起吃东西，自己吃到问我爱人什么时候而且还不停吃感觉还能吃得下很多东西，爱人在用餐中又遇到一个人，他问我爱人什么时候把谁的钱换上，为什么把手机号码换掉？","03"
"梦见去世的弟弟和活着的弟弟，穿着崭新整洁的西服，里面的白色衬衣，也是新的，他们张口笑着，我看见他们的满口牙齿有好几排，占满了下部的口腔，牙齿看上去，很锋利的样子，并且十分洁白；还看见爱人的牙齿也是这样子，很白，但是是两排，排在下口腔的牙床上。","04"
"梦见我跟几个舅舅及家人在一起吃饭，这时外面来了一个年轻人送来很多汤园，说是我三舅派他送来的，（其实我三舅已死了几年了，但梦中他没死，而且过得很好，好象还是一个官员了，具体是什么官有些记不起来），汤园里面包着的是肉，请大师解梦，谢谢！","03"
"老是梦见我嫁人了    嫁给不喜欢 或不情愿的人     哭的.....梦过好几次了第一次梦我妈让我嫁人了   我不想嫁   心里特难受     第二次梦见要嫁人了 特不愿意   昨晚直接梦见就是嫁人了  我不愿意   还要闹离婚","04"
"昨夜梦见已经病逝四年的奶奶 梦里的他好像还没有死透 但是也好像是死了没有埋葬 好像是僵尸那种她的样子是那种干干巴巴的 而且还说话 说她不想死 我们一家人都在那哭要去埋她 装进棺材但是没封盖 ， 然后他不肯死又准备把他拉回家","02"
