text,label
我是一名女士，53岁，昨晚梦中的情境：上楼时，看到已故男同事在旁边上坐着，我与他打招呼，问他什么时候来的，他说早来了，我说到底是什么时候来的，他说来了三天了，他又说：好长时间不见抱一下吧，我就与他拥抱了两下，这是怎么回事,12
在梦中看到她，然后场景是我经常呆的地方，是爷爷住的地方，我们畅谈，然后她喜欢的那个人就出现了，说是要回去，我就很失望，但最后要我去送她，可是我发脾气没去，等我开始着急的时候，电话就怎么也打不通了，然后就我一个人怎么也找不到她，然后就突然醒了,7
具体忘了，只记得左边下边的大牙先后掉了两颗，一颗大的，一颗小的，但是没有血，也不痛。只记得左边下边的大牙先后掉了两颗，一颗大的，一颗小的，但是没有血，也不痛。只记得左边下边的大牙先后掉了两颗，一颗大的，一颗小的，但是没有血，也不痛。,14
我梦见我的弟弟被我的朋友误会骗了他的亲戚，所以拿着刀子来找他，我出去阻止却被我这个朋友砍了脖子上两刀，感觉很疼，还出了点血，但我没事，我去向我弟了解情况时，我的那个朋友又来了，把刀插在我们面前，样子很凶，我就醒过来了，感觉很清楚，脖子还有疼的感觉。,20
梦见：被人追杀，走投无路，右手五根手指被人齐根剪断。丝毫不痛，断口仅有血迹，并无鲜血涌出。然后似有再生功能，五根手指全部自己长出。右手完好无损，仅有些许血垢残留。附：最近很累，睡眠不足。感觉梦境好奇怪，十分不解，有颇多困惑，做了这个梦心里有点堵，不知道有何寓意，求大师解梦。,20
晚上做梦梦见楼下的一个角落有一堆土，土里传出来婴儿的笑声，那笑声非常的恐怖，然后自己想醒就是醒不了。好不容易醒了 睡着了以后那笑声有来了。那种好像很不甘心的笑声，让人听了非常不舒服，听着听着我就感觉我被附身了一样，自己好像还流着口水，就像个小孩一样。太吓人了、,7
梦到已故的妈妈给我买了件纱料带红点白地的裙子，也没有和我说话，我拿过裙子之后还穿在身上试了试，还觉得怕别人看到就赶紧脱了下来。妈妈在我的梦境中就给我买了一条裙子，什么也没说，什么也没做。最近总是在梦里梦到妈妈和活着的时候一样，妈妈去世快一周年了,13
梦见下牙出现了上下两层，于是照着镜子把上面的一层拿了下来，大约4-5个，它们好像连在一起，但掉了的位置下面还有牙，但剩下的下层的牙比它旁边的未掉的牙短了，不痛不出血，下层牙有一颗也快掉了，我还用铁丝绑牙，其余位置的牙很好，后来就醒了掉了的下牙是正中的几个牙，平时牙很好，没有健康问题谢谢大师解答,14
我是个男的，昨天梦见被朋友的妻子用刀划伤了胳膊，并且流了血，之后，她用刀又割了我的手腕，没有出血，印象中是好深的口子，我朋友的妻子我没见过，也不知道叫什么。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。。,20
我昨晚睡觉梦到牙掉了一半，开始是上排左边和下排左边的一半，不是一起全掉，一颗一颗的掉，有的牙用舌头一顶就掉了，有的牙是上下牙一碰就掉，不见血，也不疼也不痒。后来右边的那一半也开始掉，但没掉完就醒了。另本人晚上有磨牙的习惯，偶尔自己都能感觉到磨，还在半睡半醒之间配合这种磨牙，目的是为了找晚上磨牙的感觉。不知道为什么，这种感觉我貌似并不感觉到恶心，相反还有一点想尝试的感觉。,14
梦见左侧下牙一个个的掉的很快 掉了一排，自己还用舌头舔了舔，没牙的感觉很难受，然后就醒了，没有见血。梦见左侧下牙一个个的掉的很快 掉了一排，自己还用舌头舔了舔，没牙的感觉很难受，然后就醒了，没有见血。梦见左侧下牙一个个的掉的很快 掉了一排，自己还用舌头舔了舔，没牙的感觉很难受，然后就醒了，没有见血。梦见左侧下牙一个个的掉的很快 掉了一排，自己还用舌头舔了舔，没牙的感觉很难受，然后就醒了，没有见血。,14
在一座山上，可以看到山水房子，突然下雨了，我和几个朋友就到了一屋檐底下，接着就开始打雷闪电了，然后树就倒了，接着就起火了，当时很害怕，过了一会雨停了，我们就跑回家，但是到了半路，我看到一个底下有点水的水池，于是我挑了一担水就回去了。,14
梦见和前夫在床上玩  不知怎么他的生殖器就被划开了   使劲的滴血【现实生活中和他已经没有关系了   不可能和他在床上玩】当时我就吓蒙了   反应过来后赶紧打120   但是没打通   就急着出门去找医生  这个时候我一直都还在和现在的男朋友发信息聊天   怕现在的男朋友生气  然后 出门就遇见我的大伯和大妈   大妈还在和我说话【大妈去年已经去世了】  这个时候我手里 不知哪里来的很大一块鸡腿   嘴里还在吃   边吃鸡腿边去找医生   这时候又遇见另外一个婶婶  一直陪着我走  我让她回去  她说你不怕了我就回去     因为去找医生的路上要经过一片坟地  我想了想觉得自己害怕   就让她陪自己走过坟地再回去  过坟地时  她一直用手电筒为我照明 等我走过坟地后   她就回去了    我想知道我为什么会做这样的梦    在感情上有什么暗示吗？拜托帮我解一下,12
我坐着船在水面上前进，水上飘着很多浮尸，梦境气氛很诡异，浮尸还未腐烂，但已发白。船是比较大的，不会觉得不安全，船上一女孩跳入河中，当时很担心她出什么事，船上其他两个人却表现得很不在乎。在河道快到一大片水面的时候，浮尸多为女尸，而且都穿着粉红色无袖纱裙，而正前方有几个穿着一样的女子香河道方向走来，梦中的我就猜测这个河道可能是专门安放死者的。,10
一开始我在洗手间照镜子，余光看见镜子里有个小孩，可是我左边什么都没有，然后那小孩出现了我转身动动他，哭了，跑到我后面发现一个阿姨安慰小孩，阿姨不高兴，顺眼看镜子也看不见，这是我走到隔壁房间，是姥姥一家人在吃饭，这时坐在我右边右边的妈妈说还剩一天了，我就哭，所有人都没反应。我问什么感觉，说两腿发麻，为什么，缺乏锻炼。一直哭。然后我妈笑着说送我东西，是个透明圆柱，里面顶中底各一个骰子，我好像并没有拿，哭着哭着我忍住哭泣，问我妈一些平时的琐事，她也回答。然后就醒了,8
